C_Code,Row_Count
C009,350
C01,2800
C021,1050
C022,350
C023,350
C028,350
C029,2100
C030,350
C031,350
C049,350
C050,350
C052,350
C062,350
C0689,350
C069,700
C07,2450
C080,350
C098,350
C099,3500
C102,350
C109,1750
C119,1050
C12,700
C138,350
C139,700
C140,1750
C153,700
C154,2100
C155,5600
C158,350
C159,12250
C160,6300
C162,700
C163,2100
C164,1050
C166,1400
C168,350
C169,6300
C170,1750
C172,350
C180,11550
C181,2800
C182,18900
C183,3850
C184,8750
C185,1750
C186,3150
C187,15400
C188,350
C189,20300
C19,8400
C20,30800
C210,2800
C211,1750
C218,700
C220,35000
C221,16100
C222,700
C227,1400
C228,5600
C229,1400
C23,2800
C240,4550
C241,2800
C249,2100
C250,23450
C251,2450
C252,1750
C253,1050
C254,700
C257,2100
C258,1050
C259,25900
C260,350
C269,700
C300,350
C310,1050
C311,350
C318,350
C320,2100
C321,3150
C323,350
C328,700
C329,5950
C3400,350
C3401,4550
C3402,2100
C3410,350
C3411,36400
C3412,28350
C342,8400
C3431,28700
C3432,17850
C3480,1400
C3481,1400
C3482,700
C3490,64750
C3491,17500
C3492,7000
C37,1750
C381,350
C382,350
C383,700
C384,350
C4001,350
C4002,3150
C4021,1750
C4022,4900
C4082,350
C410,700
C411,700
C412,2100
C413,700
C414,350
C419,2100
C4331,350
C434,350
C4359,700
C4360,700
C4370,700
C4371,350
C4372,1050
C439,5250
C4402,350
C44209,350
C44212,350
C44219,350
C44300,350
C44301,350
C44309,350
C44310,1050
C44311,700
C44319,1050
C44329,2450
C4441,700
C4442,1400
C4449,350
C44519,700
C44520,700
C44529,350
C44599,350
C44612,700
C44619,350
C44622,1050
C44709,350
C44719,700
C44722,1050
C44729,350
C4490,2100
C4491,3150
C4492,1400
C450,1400
C451,700
C452,350
C457,700
C459,1750
C460,700
C469,700
C475,700
C480,3150
C481,700
C482,2450
C490,2100
C4910,350
C4921,700
C4922,350
C493,1050
C494,2450
C495,700
C496,700
C499,2100
C49A0,700
C49A2,1050
C49A3,1050
C4A72,350
C50011,700
C50012,700
C50111,350
C50112,350
C50121,350
C50211,700
C50212,1750
C50312,1750
C50411,2800
C50412,2800
C50419,700
C50512,1050
C50811,2450
C50812,1400
C50911,29050
C50912,28350
C50919,24500
C519,4550
C52,1750
C530,700
C538,350
C539,9450
C541,21350
C542,350
C548,700
C549,350
C55,7000
C561,5250
