C_Code,Row_Count
C109,350
C153,350
C166,350
C182,350
C189,350
C220,700
C250,350
C259,350
C318,350
C342,350
C3431,350
C3491,350
C4001,350
C4002,2800
C4021,350
C4022,3150
C413,350
C414,350
C419,1400
C482,350
C490,350
C493,350
C494,700
C495,350
C499,350
C541,350
C569,700
C5700,350
C6291,350
C6292,350
C641,350
C642,350
C716,1400
C717,700
C719,700
C729,350
C7490,2100
C753,350
C762,350
C772,350
C778,350
C7801,350
C8111,350
C8174,350
C8190,1050
C8191,350
C8198,350
C8211,350
C8290,350
C8298,350
C8310,350
C8311,700
C8313,350
C8315,350
C8318,350
C8330,11200
C8331,3150
C8332,350
C8333,700
C8334,700
C8335,350
C8336,350
C8338,3850
C8339,12250
C8351,350
C8352,350
C8370,2100
C8373,700
C8374,350
C8378,350
C8379,1400
C8468,350
C8470,700
C8510,1050
C8512,1050
C8513,350
C8518,350
C8519,700
C8520,350
C8522,1050
C8529,1400
C8580,1050
C8588,700
C8589,350
C8590,700
C8591,350
C8595,350
C8599,1400
C9000,2800
C9002,700
C9100,10500
C9101,1050
C9102,2450
C9110,700
C9112,700
C9150,700
C91Z0,350
C9200,8400
C9201,1400
C9202,1050
C9251,350
C92A0,350
C92A1,350
C92Z0,350
C9420,350
C9501,350
