C_VALUE,COUNT
C9100,9713
C8330,7483
C9200,6968
C8339,6306
C9101,4929
C8338,3735
C4022,2557
C9201,2515
C4021,2413
C9102,2142
C8331,1778
C9202,1692
C9000,1649
C716,1452
C8333,1364
C8599,1235
C8370,1092
C7490,1086
C8310,1041
C419,1028
C9110,981
C414,936
C8332,905
C9002,882
C8510,879
C8590,873
C8589,864
C499,855
C8190,758
C8318,696
C8520,693
C719,630
C4002,604
C8519,591
C222,572
C569,553
C4001,495
C413,490
C4921,444
C8522,423
C412,415
C8335,404
C4922,403
C55,399
C92Z0,397
C8118,396
C8350,386
C189,385
C8379,373
C8378,372
C410,369
C220,350
C495,346
C8110,338
C480,337
C8371,328
C3490,317
C8334,308
C8373,303
C9240,300
C6290,294
C490,282
C493,265
C6291,261
C20,258
C541,254
C8319,253
C753,248
C9300,240
C9150,233
C641,228
C8580,220
C9112,216
C494,214
C6292,212
C259,211
C9250,211
C679,211
C8290,209
C8518,206
C865,205
C169,203
C383,202
C119,199
C8511,197
C9500,195
C411,189
C8112,187
C19,187
C8591,185
C642,184
C966,181
C9210,180
C539,178
C561,177
C92Z1,176
C8336,174
C562,173
C8111,167
C717,165
C7492,163
C7951,162
C7800,160
C8352,156
C4911,151
C210,147
C864,146
C787,141
C8198,141
C92A0,140
C8448,137
C8311,136
C860,134
C7491,133
C4912,131
C8440,129
C8513,128
C609,125
C8512,125
C786,124
C649,123
C58,122
C8529,122
C92Z2,122
C762,121
C760,112
C9140,112
C8468,109
C7989,109
C715,108
C479,104
C187,103
C8581,101
C8337,101
C9010,100
C8313,99
C159,96
C8449,96
C9251,96
C8192,95
C8460,95
C8359,94
C8191,93
C381,93
C8528,90
C710,90
C496,90
C6921,90
C8358,90
C224,89
C8380,88
C711,88
C763,88
C861,87
C50911,83
C9301,83
C6961,83
C3491,82
C9310,80
C6922,80
C884,78
C4031,77
C9241,76
C250,76
C8351,75
C50912,75
C729,74
C8374,74
C761,73
C9420,73
C9230,72
C8588,71
C7651,71
C7801,70
C718,68
C498,67
C3411,66
C01,66
C8170,65
C772,64
C61,64
C8389,63
C801,62
C160,62
C7802,62
C52,61
C6962,60
C3412,60
C380,59
C8100,59
C482,59
C8598,59
C7652,58
C8470,58
C678,56
C8218,56
C4032,56
C8315,56
C880,54
C720,54
C7931,53
C182,53
C8300,53
C3492,52
C8298,51
C8120,51
C310,51
C712,49
C9160,49
C099,49
C960,48
C8469,48
C6211,48
C9001,48
C211,47
C8199,47
C6212,46
C8375,46
C329,45
C8238,45
C300,43
C109,43
C9290,42
C91Z0,42
